t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.460000,0.225002,0.302958,0.667248,-0.393384,1.411508,-3.888357,2.315701,4.800000,0.290813,-0.003941,0.600815,1.154582,0.577749,0.553688,0.583084,0.626788,0.504704,-2.907547,2.396940,-34.525946,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000018,1.013368,1.010316,0.800000,0.129948,0.077432,0.008533,0.150000,0.173778,0.229774,0.124749,0.300000
0.470000,0.244525,0.269689,0.692910,-0.355740,2.300110,-2.972105,2.162773,2.834127,0.296573,0.001568,0.606624,1.160805,0.574264,0.548021,0.578527,0.617684,1.465608,-2.179517,2.447111,-35.697165,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000018,1.013249,1.009953,0.800000,0.120794,0.020397,0.012428,0.150000,0.163684,0.171623,0.169107,0.300000
0.480000,0.244525,0.269689,0.692910,-0.355740,2.300110,-2.972105,2.162773,2.834127,0.302298,0.007019,0.612386,1.166935,0.570715,0.542260,0.573884,0.608425,1.440532,-2.201014,2.394133,-35.841173,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000019,1.013153,1.009841,0.800000,0.096333,0.000000,0.026344,0.150000,0.134371,0.128032,0.218048,0.300000
0.490000,0.258797,0.253414,0.685357,-0.308335,0.704828,-0.408774,-2.359973,4.800000,0.307987,0.012412,0.618101,1.172973,0.567102,0.536406,0.569156,0.599015,-0.108223,0.259829,-2.256567,-32.831700,0.673483,-1.200000,1.200000,1.200000,0,1,1,1,1.000020,1.013055,1.009712,0.800000,0.071568,0.000000,0.037422,0.150000,0.105561,0.084012,0.265922,0.300000
0.500000,0.258797,0.253414,0.685357,-0.308335,0.704828,-0.408774,-2.359973,4.800000,0.313640,0.017747,0.623769,1.178915,0.563428,0.530461,0.564343,0.589455,-0.132812,0.239102,-2.308430,-32.970702,0.801512,-1.200000,1.200000,1.200000,0,1,1,1,1.000020,1.013081,1.009616,0.800000,0.073328,0.003474,0.032755,0.150000,0.107725,0.089209,0.222211,0.300000
0.510000,0.257651,0.260849,0.647106,-0.260335,-0.734581,1.513163,-4.800000,4.800000,0.319256,0.023021,0.629388,1.184761,0.559691,0.524426,0.559447,0.579749,-1.602295,2.177877,-5.182266,-31.907150,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000020,1.013104,1.009510,0.800000,0.075553,0.006573,0.030376,0.150000,0.110381,0.093991,0.186465,0.300000
0.520000,0.257651,0.260849,0.647106,-0.260335,-0.734581,1.513163,-4.800000,4.800000,0.324833,0.028235,0.634957,1.190510,0.555894,0.518304,0.554468,0.569898,-1.626388,2.157930,-5.232983,-32.041008,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000020,1.013427,1.010162,0.800000,0.103360,0.035526,0.069996,0.150000,0.142427,0.137548,0.290110,0.300000
0.530000,0.253802,0.263188,0.616131,-0.212335,-0.126523,-0.785594,-1.739678,4.800000,0.330373,0.033387,0.640477,1.196159,0.552036,0.512096,0.549407,0.559906,-1.061417,-0.148687,-2.532538,-30.972245,1.200000,-0.097771,1.200000,1.200000,1,0,1,1,1.000020,1.013747,1.010806,0.800000,0.132368,0.063353,0.115312,0.150000,0.174955,0.180707,0.300000,0.300000
0.540000,0.253802,0.263188,0.616131,-0.212335,-0.126523,-0.785594,-1.739678,4.800000,0.335874,0.038477,0.645945,1.201707,0.548119,0.505804,0.544266,0.549776,-1.085003,-0.167843,-2.582081,-31.100827,1.200000,0.002333,1.200000,1.200000,1,0,1,1,1.000021,1.013734,1.010498,0.800000,0.150000,0.061459,0.150000,0.150000,0.196183,0.177733,0.300000,0.300000
0.550000,0.257209,0.243287,0.614661,-0.164335,0.725487,-2.980227,1.151546,4.800000,0.341335,0.043503,0.651362,1.207154,0.544142,0.499429,0.539043,0.539509,-0.239286,-2.480738,0.245493,-30.026724,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000021,1.013719,1.010178,0.800000,0.150000,0.059385,0.150000,0.150000,0.217883,0.174376,0.300000,0.300000
0.560000,0.267903,0.208776,0.632229,-0.116335,1.357742,-3.837365,2.245884,4.800000,0.346757,0.048465,0.656726,1.212497,0.540108,0.492974,0.533742,0.529110,0.423366,-3.528785,1.467177,-28.949905,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000021,1.013612,1.009504,0.800000,0.150000,0.034603,0.145551,0.150000,0.222669,0.124762,0.295090,0.300000
0.570000,0.267903,0.208776,0.632229,-0.116335,1.357742,-3.837365,2.245884,4.800000,0.352137,0.053362,0.662036,1.217736,0.536016,0.486441,0.528362,0.518580,0.400554,-3.546737,1.419451,-29.070339,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000021,1.013570,1.008872,0.800000,0.142088,0.012825,0.122701,0.150000,0.214202,0.054187,0.265747,0.300000
0.580000,0.285023,0.186580,0.634228,-0.068335,1.987514,-0.888218,-1.464463,4.800000,0.357477,0.058194,0.667293,1.222868,0.531868,0.479830,0.522904,0.507923,1.093376,-0.726116,-2.318018,-27.987997,-1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000021,1.013527,1.008224,0.800000,0.134420,0.000000,0.099240,0.150000,0.206191,0.000000,0.237358,0.300000
0.590000,0.285023,0.186580,0.634228,-0.068335,1.987514,-0.888218,-1.464463,4.800000,0.362775,0.062959,0.672494,1.227894,0.527665,0.473145,0.517369,0.497141,1.071092,-0.743256,-2.364498,-28.102851,-1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000021,1.013481,1.007743,0.800000,0.114868,0.000000,0.138811,0.150000,0.184323,0.000000,0.283718,0.300000
0.600000,0.295670,0.192160,0.601703,-0.020335,0.365101,1.589046,-4.526040,4.800000,0.368030,0.067656,0.677640,1.232811,0.523406,0.466386,0.511759,0.486238,-0.520103,1.745180,-5.797170,-27.014872,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000022,1.013434,1.007250,0.800000,0.095236,0.000000,0.150000,0.150000,0.162901,0.000000,0.300000,0.300000
0.610000,0.291340,0.202434,0.563832,0.027665,-0.956059,0.595595,-3.214439,4.800000,0.373242,0.072286,0.682729,1.237618,0.519093,0.459557,0.506073,0.475216,-1.884664,0.786779,-4.909483,-25.924034,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000022,1.013652,1.007456,0.800000,0.104444,0.005450,0.150000,0.150000,0.173304,0.034768,0.300000,0.300000
0.620000,0.291340,0.202434,0.563832,0.027665,-0.956059,0.595595,-3.214439,4.800000,0.378412,0.076847,0.687761,1.242315,0.514727,0.452658,0.500314,0.464078,-1.906144,0.770872,-4.954043,-26.030311,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000022,1.013742,1.007272,0.800000,0.139446,0.008458,0.150000,0.150000,0.210997,0.050489,0.300000,0.300000
0.630000,0.287440,0.196124,0.547604,0.075665,0.052757,-1.622286,-0.337244,4.800000,0.383537,0.081339,0.692735,1.246899,0.510309,0.445692,0.494481,0.452828,-0.938034,-1.494052,-2.283032,-24.933676,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000023,1.013830,1.007078,0.800000,0.150000,0.011160,0.150000,0.150000,0.249120,0.065879,0.300000,0.300000
0.640000,0.292738,0.167525,0.559990,0.123665,0.907563,-3.886156,2.502476,4.800000,0.388618,0.085761,0.697650,1.251371,0.505838,0.438661,0.488576,0.441468,-0.077672,-3.915994,0.637296,-23.834106,0.715032,1.200000,-1.200000,1.200000,0,1,1,1,1.000023,1.013745,1.006227,0.800000,0.150000,0.007329,0.150000,0.150000,0.267880,0.036349,0.300000,0.300000
0.650000,0.292738,0.167525,0.559990,0.123665,0.907563,-3.886156,2.502476,4.800000,0.393653,0.090112,0.702506,1.255728,0.501318,0.431567,0.482600,0.430002,-0.098330,-3.930655,0.594712,-23.931575,0.821979,1.200000,-1.200000,1.200000,0,1,1,1,1.000023,1.013753,1.005296,0.800000,0.150000,0.009665,0.126227,0.150000,0.269434,0.078230,0.287254,0.300000
